nombre,poblacion,superficie,continente
Nepal,29136808,147181,Asia
Reino Unido,67215293,242900,Europa
Catar,2881060,11586,Asia
Guayana Francesa,254541,83534,América del Sur
Arabia Saudí,34813867,2149690,Asia
Venezuela,28435943,916445,América del Sur
Kuwait,4270563,17818,Asia
Túnez,11818618,163610,África
Antigua y Barbuda,97928,442,América del Norte
Guinea,13132792,245857,África
India,1380004385,3287590,Asia
Groenlandia,56367,2166086,América del Norte
Islas Cocos o Islas Keeling,544,14,Asia
Macedonia del Norte,2077132,25713,Europa
Mayotte,226915,374,África
Suiza,8654622,41284,Europa
Mauritania,4649660,1030700,África
Benín,12123198,112622,África
Egipto,102334403,1002450,África
Territorio Británico del Océano Índico,3000,60,Asia
Bulgaria,6927288,110879,Europa
Islas Malvinas,2563,12173,América del Sur
Tayikistán,9537642,143100,Asia
Madagascar,27691019,587041,África
Siria,17500657,185180,Asia
Grecia,10715549,131990,Europa
Mali,20250834,1240192,África
Chipre,1207361,9251,Europa
Islas Turks y Caicos,38718,948,América del Norte
Filipinas,109581085,342353,Asia
Brasil,212559409,8515767,América del Sur
Caribe Neerlandés,25987,328,América del Norte
Jamaica,2961161,10991,América del Norte
Trinidad y Tobago,1399491,5130,América del Norte
San Vicente y Granadinas,110947,389,América del Norte
Marruecos,36910558,446550,África
Argelia,44700000,2381741,África
Panamá,4314768,75417,América del Norte
Jersey,100800,116,Europa
Laos,7275556,236800,Asia
Perú,32971846,1285216,América del Sur
Ciudad del Vaticano,451,0,Europa
Israel,9216900,20770,Asia
Gibraltar,33691,6,Europa
Canadá,38005238,9984670,América del Norte
República Eslovaca,5458827,49037,Europa
Polinesia Francesa,280904,4167,Oceanía
Liechtenstein,38137,160,Europa
Myanmar,54409794,676578,Asia
Guam,168783,549,Oceanía
Sahara Occidental,510713,266000,África
Islas Svalbard y Jan Mayen,2562,61399,Europa
Guadalupe,400132,1628,América del Norte
Paraguay,7132530,406752,América del Sur
Vietnam,97338583,331212,Asia
Islas Pitcairn,56,47,Oceanía
Indonesia,273523621,1904569,Asia
Gabón,2225728,267668,África
Ghana,31072945,238533,África
Sudáfrica,59308690,1221037,África
Papúa Nueva Guinea,8947027,462840,Oceanía
Burkina Faso,20903278,272967,África
Togo,8278737,56785,África
Kazajistán,18754440,2724900,Asia
Bahrein,1701583,765,Asia
Omán,5106622,309500,Asia
Afganistán,40218234,652230,Asia
Emiratos Árabes Unidos,9890400,83600,Asia
Belice,397621,22966,América del Norte
Barbados,287371,430,América del Norte
Haití,11402533,27750,América del Norte
Iran,83992953,1648195,Asia
Islas Marianas del Norte,57557,464,Oceanía
Yemen,29825968,527968,Asia
San Bartolomé,4255,21,América del Norte
Italia,59554023,301336,Europa
Chile,19116209,756102,América del Sur
Brunei,437483,5765,Asia
El Salvador,6486201,21041,América del Norte
Montserrat,4922,102,América del Norte
Camerún,26545864,475442,África
Somalia,15893219,637657,África
Bahamas,393248,13943,América del Norte
Guinea-Bisáu,1967998,36125,África
Uganda,45741000,241550,África
Uzbekistán,34232050,447400,Asia
Singapur,5685807,710,Asia
Costa Rica,5094114,51100,América del Norte
Hungría,9749763,93028,Europa
